time,consumer,producer,voltage,frequency,temperature
1,153.98,147.35,218.65,49.9,29.24
2,152.3,146.1,219.71,49.96,30.17
3,157.72,143.22,218.42,49.98,30.32
4,163.58,140.91,219.38,50.09,30.87
5,156.25,146.73,216.21,50.03,29.13
6,157.69,145.87,220.43,49.93,31.19
7,168.18,148.17,220.0,50.02,27.99
8,165.52,147.34,218.37,49.92,30.17
9,160.7,149.14,221.32,50.05,30.41
10,167.1,142.86,221.88,49.98,31.63
11,163.36,150.25,216.78,50.0,31.11
12,164.61,145.68,218.47,50.07,29.78
13,169.37,153.01,218.46,49.94,30.3
14,159.76,141.71,218.12,49.93,31.58
15,161.82,151.09,221.66,49.97,31.4
16,168.71,144.54,219.61,50.05,30.99
17,167.47,140.67,219.47,49.92,31.19
18,175.07,140.8,215.99,49.86,32.46
19,169.86,140.84,221.27,49.98,31.34
20,168.18,143.14,217.52,50.03,31.86
21,183.35,142.78,220.12,50.06,34.21
22,175.61,137.59,220.55,49.98,30.71
23,177.72,138.91,222.72,49.98,30.37
24,170.84,146.65,217.38,50.06,33.09
25,175.75,144.0,213.96,49.91,31.72
26,179.46,137.8,220.37,49.98,32.17
27,173.52,135.11,223.6,50.01,31.79
28,181.44,134.31,222.48,50.02,32.4
29,176.78,135.1,220.42,49.97,34.34
30,178.47,127.34,219.02,50.0,33.63
31,176.98,129.15,221.61,49.88,33.77
32,189.25,122.22,218.05,49.97,31.57
33,179.84,129.18,220.95,50.02,31.91
34,174.46,128.84,221.01,49.95,30.3
35,183.63,122.96,222.12,50.0,32.41
36,173.11,129.82,225.52,50.02,34.25
37,179.88,117.25,220.78,49.98,33.89
38,168.59,114.9,218.98,50.01,33.22
39,171.23,120.27,219.95,49.95,33.49
40,178.26,122.17,216.46,49.99,32.9
41,180.31,123.34,218.61,50.03,33.86
42,176.75,113.4,219.18,50.01,34.49
43,174.53,118.2,218.95,49.97,32.17
44,172.75,112.39,220.3,50.01,34.15
45,165.95,110.54,218.36,50.04,34.85
46,168.77,113.48,222.24,49.9,33.56
47,169.04,111.3,220.0,50.06,34.74
48,175.55,101.16,219.98,49.98,36.91
49,170.85,112.19,219.34,50.02,34.05
50,159.14,110.67,220.31,50.06,34.6
51,168.35,101.55,221.65,49.93,33.52
52,163.54,104.59,218.27,49.96,34.49
53,160.78,103.99,218.68,49.99,34.82
54,165.88,102.12,219.39,49.96,34.6
55,166.6,98.0,217.31,50.09,33.44
56,164.71,96.7,218.36,49.96,34.71
57,154.43,98.53,219.05,49.97,36.01
58,155.63,102.63,221.75,50.01,35.03
59,157.37,99.5,220.53,49.94,35.59
60,159.11,95.29,220.39,49.98,34.42
61,150.35,99.38,221.7,50.02,35.45
62,150.32,84.5,219.73,49.98,35.01
63,144.22,100.16,220.78,50.0,33.81
64,142.27,88.35,219.79,49.97,35.11
65,150.82,93.68,220.53,49.92,33.83
66,152.05,90.55,218.83,50.02,34.21
67,143.43,89.82,215.12,50.09,35.06
68,147.35,99.7,219.73,50.0,35.19
69,142.7,93.31,222.85,50.01,33.72
70,136.25,96.77,221.85,50.03,35.98
71,139.89,95.48,221.93,49.94,35.52
72,144.41,97.94,222.47,50.09,34.25
73,135.22,96.76,220.18,50.01,33.43
74,141.93,91.83,220.39,50.08,34.83
75,119.75,101.52,218.76,49.96,34.54
76,135.75,96.2,219.37,50.09,35.11
77,130.92,92.66,221.23,50.04,34.63
78,127.87,97.95,222.41,50.03,32.99
79,128.76,106.51,219.72,50.01,34.61
80,117.36,104.81,219.1,49.99,34.69
81,125.25,100.97,220.0,50.06,35.63
82,127.24,101.98,221.2,50.01,34.29
83,132.01,103.15,217.11,49.9,36.66
84,121.26,113.85,215.41,49.94,33.06
85,119.11,108.23,218.9,49.99,36.27
86,120.01,109.62,217.56,50.02,34.72
87,126.53,113.25,218.98,50.0,35.79
88,123.1,111.35,219.7,50.06,34.99
89,118.38,110.66,219.09,49.9,36.03
90,123.24,112.23,222.9,50.01,34.48
91,120.88,114.07,220.65,49.91,33.75
92,125.03,115.57,220.6,50.04,36.24
